6_12,6_20,6_30,6_75,12_20,12_30,12_75,20_30,20_75,30_75,6_12_car,6_20_car,6_30_car,6_75_car,12_20_car,12_30_car,12_75_car,20_30_car,20_75_car,30_75_car
ch0_30Hz,ch10_18Hz,ch11_75Hz,ch9_36Hz,ch6_75Hz,ch4_30Hz,ch2_6Hz,ch12_20Hz,ch5_150Hz,ch0_60Hz,ch3_60Hz,ch14_75Hz,ch4_12Hz,ch13_24Hz,ch14_20Hz,ch6_24Hz,ch8_90Hz,ch8_12Hz,ch5_90Hz,ch7_6Hz
ch8_90Hz,ch0_75Hz,ch9_75Hz,ch3_36Hz,ch0_24Hz,ch14_18Hz,ch1_75Hz,ch7_90Hz,ch4_36Hz,ch8_30Hz,ch10_12Hz,ch13_75Hz,ch2_18Hz,ch3_36Hz,ch5_18Hz,ch11_18Hz,ch3_18Hz,ch5_24Hz,ch7_150Hz,ch2_20Hz
ch0_75Hz,ch8_75Hz,ch3_225Hz,ch10_24Hz,ch8_36Hz,ch3_225Hz,ch8_6Hz,ch4_90Hz,ch6_225Hz,ch8_150Hz,ch0_60Hz,ch3_20Hz,ch6_60Hz,ch1_225Hz,ch12_18Hz,ch1_225Hz,ch0_36Hz,ch12_6Hz,ch6_6Hz,ch1_6Hz
ch12_90Hz,ch12_75Hz,ch1_225Hz,ch6_18Hz,ch0_75Hz,ch5_75Hz,ch8_60Hz,ch10_150Hz,ch11_225Hz,ch14_36Hz,ch0_150Hz,ch9_75Hz,ch3_36Hz,ch11_24Hz,ch4_30Hz,ch4_225Hz,ch9_18Hz,ch0_225Hz,ch1_6Hz,ch3_20Hz
ch2_75Hz,ch0_150Hz,ch6_90Hz,ch2_36Hz,ch1_24Hz,ch10_36Hz,ch1_40Hz,ch13_40Hz,ch7_12Hz,ch4_36Hz,ch9_60Hz,ch1_18Hz,ch3_18Hz,ch12_40Hz,ch14_18Hz,ch7_75Hz,ch13_6Hz,ch3_6Hz,ch12_90Hz,ch1_40Hz
ch5_36Hz,ch1_36Hz,ch14_225Hz,ch13_40Hz,ch3_90Hz,ch12_18Hz,ch8_18Hz,ch8_75Hz,ch13_225Hz,ch13_18Hz,ch9_12Hz,ch11_75Hz,ch1_225Hz,ch5_18Hz,ch7_20Hz,ch8_24Hz,ch11_20Hz,ch9_150Hz,ch11_36Hz,ch5_150Hz
ch14_75Hz,ch2_36Hz,ch5_75Hz,ch14_36Hz,ch5_90Hz,ch10_90Hz,ch14_24Hz,ch6_90Hz,ch12_36Hz,ch6_24Hz,ch13_12Hz,ch10_24Hz,ch9_225Hz,ch4_60Hz,ch5_24Hz,ch14_6Hz,ch5_225Hz,ch12_36Hz,ch11_225Hz,ch14_225Hz
ch11_75Hz,ch4_12Hz,ch7_75Hz,ch13_30Hz,ch12_6Hz,ch12_75Hz,ch3_225Hz,ch6_30Hz,ch5_75Hz,ch15_225Hz,ch8_12Hz,ch8_36Hz,ch7_6Hz,ch5_30Hz,ch8_90Hz,ch10_90Hz,ch11_18Hz,ch9_24Hz,ch2_6Hz,ch1_24Hz
ch4_75Hz,ch8_60Hz,ch14_75Hz,ch7_75Hz,ch1_75Hz,ch4_36Hz,ch7_30Hz,ch12_6Hz,ch15_40Hz,ch1_36Hz,ch6_75Hz,ch10_12Hz,ch4_225Hz,ch12_24Hz,ch9_225Hz,ch6_30Hz,ch11_24Hz,ch7_90Hz,ch13_36Hz,ch10_24Hz
ch11_60Hz,ch3_36Hz,ch12_75Hz,ch12_150Hz,ch10_20Hz,ch14_75Hz,ch5_30Hz,ch8_225Hz,ch5_18Hz,ch7_60Hz,ch9_36Hz,ch1_36Hz,ch4_36Hz,ch1_75Hz,ch8_75Hz,ch2_225Hz,ch11_225Hz,ch9_225Hz,ch0_40Hz,ch14_75Hz
